;link;room;area;floor;all_floors;subway;sub_time;address;price
4017;https://www.mirkvartir.ru/302108570/;2;52.7;12;14;Владыкино;20;Москва, Долгопрудная аллея;13300000
4018;https://www.mirkvartir.ru/301784425/;1;53.0;9;17;Некрасовка;-;Московская область, Люберецкий р-н, Люберцы, ул. 65 лет Победы;9000000
4019;https://www.mirkvartir.ru/284809134/;2;58.0;4;17;Селигерская;4;Москва, ул. 800-летия Москвы, 30;16000000
4020;https://www.mirkvartir.ru/303991565/;1;35.7;3;4;Кунцевская;13;Москва, ул. Алексея Свиридова, 11;13900000
4021;https://www.mirkvartir.ru/299336710/;3;140.0;10;17;Университет;-;Москва, Ломоносовский пр-кт, 25к5;87500000
4022;https://www.mirkvartir.ru/302778234/;2;46.1;2;9;Нагорная;12;Москва, Болотниковская ул., 6кБ;13599999
4023;https://www.mirkvartir.ru/302024646/;2;42.8;1;5;Крестьянская Застава;10;Москва, ул. Мельникова, 21;13900000
4024;https://www.mirkvartir.ru/301417712/;1;20.1;2;3;Курская;19;Москва, Бауманская ул., 58/3стр5;7800000
4025;https://www.mirkvartir.ru/299636020/;5;130.0;7;7;Театральная;10;Москва, Никитский б-р, 12;46000000
4026;https://www.mirkvartir.ru/303747690/;-;22.9;21;25;Марьино;17;Москва, Егорьевский проезд, 37;7600000
4027;https://www.mirkvartir.ru/302630240/;2;54.4;17;17;Университет;9;Москва, Мичуринский пр-кт, 9к4;19200000
4028;https://www.mirkvartir.ru/303812102/;3;63.0;4;5;Зорге;20;Москва, ул. Маршала Бирюзова, 28;18000000
4029;https://www.mirkvartir.ru/302779150/;3;53.8;2;5;Окружная;19;Москва, Дмитровское ш., 30к1;13200000
4030;https://www.mirkvartir.ru/302980804/;1;45.0;8;9;Баррикадная;19;Москва, Звенигородское ш.;15750000
4031;https://www.mirkvartir.ru/301160044/;2;59.0;14;14;ЗИЛ;-;Москва, Московская ул., 24к3;10900000
4032;https://www.mirkvartir.ru/301208407/;2;45.1;15;15;Бунинская  Аллея;-;Москва, Чапаевский пер., 95к1;9600000
4033;https://www.mirkvartir.ru/303849787/;2;60.0;18;19;Старокачаловская;-;Москва, Феодосийская ул., 7;21500000
4034;https://www.mirkvartir.ru/303473207/;2;55.5;18;20;Кутузовская;-;Москва, Большая Филевская ул., 33;31673900
4035;https://www.mirkvartir.ru/297141883/;2;43.0;4;5;Строгино;-;Москва, ул. Новорублевская 2-я, 15к2;12500000
4036;https://www.mirkvartir.ru/285146654/;2;55.0;10;17;Волжская;19;Москва, ул. Малышева, 32;13800000
4037;https://www.mirkvartir.ru/301409967/;1;31.85;13;17;-;-;Москва, Калужское ш.;6500000
4038;https://www.mirkvartir.ru/291999279/;3;80.7;2;17;Балтийская;-;Москва, Нарвская ул., 12;25000000
4039;https://www.mirkvartir.ru/299495587/;1;36.2;7;21;Академическая;9;Москва, ул. Дмитрия Ульянова, 27;14650000
4040;https://www.mirkvartir.ru/301642333/;2;44.1;4;9;Ясенево;14;Москва, Вильнюсская ул., 13;9900000
4041;https://www.mirkvartir.ru/304157009/;4;90.0;7;7;Коммунарка;-;Москва, Сосенское поселение, п. Коммунарка, мкр. Эдальго, 3;19500000
4042;https://www.mirkvartir.ru/302568438/;2;38.0;2;12;Новохохловская;11;Москва, Новохохловская ул., 43;9499999
4043;https://www.mirkvartir.ru/301486602/;2;58.0;23;25;Бульвар Рокоссовского;-;Москва, Погонный проезд, 14;18500000
4044;https://www.mirkvartir.ru/299332722/;1;41.5;12;12;Селигерская;-;Москва, Дубнинская ул., 22к3;9600000
4045;https://www.mirkvartir.ru/302769909/;2;44.0;3;9;Бутырская;6;Москва, Октябрьская ул., 91к1;13500000
4046;https://www.mirkvartir.ru/299569652/;2;54.5;5;12;Планерная;-;Москва, Новокуркинское ш., 43;15700000
4047;https://www.mirkvartir.ru/303848080/;1;44.3;12;24;Ховрино;-;Москва, Клинская ул., 16к15;13800000
4048;https://www.mirkvartir.ru/301119950/;1;31.0;3;15;Новопеределкино;20;Москва, Пасечная ул., 5астр3;4865000
4049;https://www.mirkvartir.ru/304469516/;1;35.3;6;21;Пражская;-;Москва, Кировоградская ул., 36;15699990
4050;https://www.mirkvartir.ru/302060351/;55;33.0;-;-;Ленинский Проспект;-;Москва, Духовской пер., 17стр10;21000000
4051;https://www.mirkvartir.ru/291999279/;3;80.7;2;17;Балтийская;-;Москва, Нарвская ул., 12;25000000
4052;https://www.mirkvartir.ru/278715909/;50;18.0;-;-;Ленинский Проспект;-;Москва, Хавская ул., 24;30000000
4053;https://www.mirkvartir.ru/302495953/;2;56.5;8;24;Коломенская;-;Москва, ул. Речников, 22;18350000
4054;https://www.mirkvartir.ru/301423606/;1;37.7;6;19;-;-;Москва, пр-кт Нововатутинский (п.Десеновское);7300000
4055;https://www.mirkvartir.ru/299495587/;1;36.2;7;21;Академическая;9;Москва, ул. Дмитрия Ульянова, 27;14650000
4056;https://www.mirkvartir.ru/299852028/;3;119.0;16;22;Бульвар Рокоссовского;-;Москва, ул. Гражданская 3-я, 3;39000000
4057;https://www.mirkvartir.ru/304157009/;4;90.0;7;7;Коммунарка;-;Москва, Сосенское поселение, п. Коммунарка, мкр. Эдальго, 3;19500000
4058;https://www.mirkvartir.ru/303856106/;2;56.8;4;17;Ховрино;-;Москва, Смольная ул., 44к1;18300000
4059;https://www.mirkvartir.ru/269225157/;1;44.1;2;13;Новогиреево;-;Москва, Перовская ул., 66к5;13500000
4060;https://www.mirkvartir.ru/297236201/;3;79.0;13;19;Речной вокзал;-;Москва, Зеленоградская ул., 33к1;17500000
4061;https://www.mirkvartir.ru/304032002/;1;35.5;3;12;Алтуфьево;-;Москва, мкр. 2-й, к1;12300000
4062;https://www.mirkvartir.ru/303858945/;1;39.0;8;18;Кунцевская;-;Москва, Малая Филевская ул., 18-1;14950000
4063;https://www.mirkvartir.ru/299863665/;2;56.0;3;14;Новохохловская;-;Москва, Нижегородская ул., 76;15740000
4064;https://www.mirkvartir.ru/293924225/;3;73.5;16;29;Багратионовская;-;Москва, Береговой проезд, 3стр1;53900000
